bikol,pos,ipa,audio_url,dialect,derivatives_inflections,wod,featured,sense1_gloss,sense1_meaning,sense1_example,sense2_gloss,sense2_meaning,sense2_example,sense3_gloss,sense3_meaning,sense3_example,sense4_gloss,sense4_meaning,sense4_example,sense5_gloss,sense5_meaning,sense5_example,sense6_gloss,sense6_meaning,sense6_example,sense7_gloss,sense7_meaning,sense7_example,sense8_gloss,sense8_meaning,sense8_example,sense9_gloss,sense9_meaning,sense9_example,sense10_gloss,sense10_meaning,sense10_example,date_added
kakan,bound root,ka-kán,,Bikol-Naga,"magkakan, nagkakan, nagkakakan, makakan",yes,,eat,to put food into the mouth and swallow,Nagkakan kami subagong aga.||We ate this morning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-22T11:24:47
dalagan,noun,da-lá-gan,,,"magdalagan, nagdalagan, nagdadalagan, madalagan",,,run,to move swiftly on foot,May nahiling akong nagdadalagan na ikos hali sa kusina.||I saw a cat running from the kitchen.,operate,to manage or operate something,Marhay nyang pinapadalagan an saiyang negosyo.||She runs her business well.,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-22T11:24:47
harong,noun,ha-róng,,,,,,house,a building for people to live in,Ini an samuyang harong.||This is our house.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-22T11:24:47
dakula,adjective,da-ku-là,,,,,,big,of large size,Dakula an harong.||The house is big.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-22T11:24:47
